sep=,
name,methodCallCount,type,table
readSetting,63,SELECT,settings
cleanDanglingOutboundQueued,3,DELETE,outbound_queue
cleanDanglingParticipants,2,DELETE,participants
cleanDanglingSteams,1,DELETE,steam_files
cleanNeighborStatistics,1,UPDATE,neighbors
containsParticipant,1,SELECT,participants
writeSetting,93,INSERT,settings
onCreate,2,CREATE,arson_keys
onCreate,2,CREATE,congestion_control
onCreate,2,CREATE,fire
onCreate,2,CREATE,log
onCreate,2,CREATE,neighbors
onCreate,2,CREATE,outbound_queue
onCreate,2,CREATE,participants
onCreate,2,CREATE,participants_keys
onCreate,2,CREATE,participants_messages
onCreate,2,CREATE,settings
onCreate,2,CREATE,siphash_ids
onCreate,2,CREATE,steam_files
resetAndDrop,2,DROP,arson_keys
resetAndDrop,2,DROP,congestion_control
resetAndDrop,2,DROP,fire
resetAndDrop,2,DROP,log
resetAndDrop,2,DROP,neighbors
resetAndDrop,2,DROP,outbound_queue
resetAndDrop,2,DROP,participants
resetAndDrop,2,DROP,participants_keys
resetAndDrop,2,DROP,participants_messages
resetAndDrop,2,DROP,settings
resetAndDrop,2,DROP,siphash_ids
resetAndDrop,2,DROP,steam_files
accountPrepared,9,SELECT,congestion_control
hasPublicKeys,16,SELECT,participants
hasPublicKeys,16,SELECT,participants
hasPublicKeys,16,SELECT,participants
hasPublicKeys,16,SELECT,siphash_ids
readSipHashIdStrings,1,SELECT,participants
readParticipants,6,SELECT,siphash_ids
readParticipants,6,SELECT,participants
participantKeyStream,7,SELECT,participants
setParticipantKeyStream,4,UPDATE,participants
readParticipantOptions,11,SELECT,participants
writeParticipantOptions,3,UPDATE,participants
participantsWithSessionKeys,1,SELECT,participants
writeLog,15,INSERT,log
deleteEntry,1,DELETE,fire
deleteEntry,1,DELETE,outbound_queue
deleteEntry,1,DELETE,neighbors
deleteEntry,1,DELETE,siphash_ids
deleteEntry,1,DELETE,steam_files
readFires,1,SELECT,fire
saveFireChannel,1,INSERT,fire
saveNeighborInformation,3,UPDATE,neighbors
readMemberChat,3,SELECT,participants_messages
writeParticipantMessage,10,INSERT,participants_messages
readSipHashIdString,2,SELECT,siphash_ids
readNonSharedSipHashIds,2,SELECT,siphash_ids
readNonSharedSipHashIds,2,SELECT,participants
purgeCongestion,1,DELETE,congestion_control
purgeParticipantsKeyStreams,1,DELETE,participants_keys
readNeighbors,3,SELECT,outbound_queue
readNeighbors,3,SELECT,neighbors
readSteams,1,SELECT,steam_files
readNeighborOids,1,SELECT,neighbors
enqueueOutboundMessage,1,INSERT,outbound_queue
fireStream,1,SELECT,fire
containsCongestionDigest,1,SELECT,congestion_control
writeCongestionDigest,10,INSERT,congestion_control
writeParticipant,1,UPDATE,siphash_ids
nameSipHashIdFromDigest,6,SELECT,siphash_ids
nameSipHashIdFromDigest,6,SELECT,participants
