Table;Nombre de requêtes;Type de requêtes
arson_keys;2;DROP
arson_keys;2;DELETE
arson_keys;2;CREATE
congestion_control;2;DROP
congestion_control;10;SELECT
congestion_control;3;DELETE
congestion_control;10;INSERT
congestion_control;2;CREATE
fire;2;DROP
fire;3;DELETE
fire;2;SELECT
fire;1;INSERT
fire;2;CREATE
log;2;DROP
log;15;INSERT
log;3;DELETE
log;2;CREATE
neighbors;11;UPDATE
neighbors;2;DROP
neighbors;3;DELETE
neighbors;6;SELECT
neighbors;2;INSERT
neighbors;2;CREATE
outbound_queue;7;DELETE
outbound_queue;2;DROP
outbound_queue;4;SELECT
outbound_queue;1;INSERT
outbound_queue;1;UPDATE
outbound_queue;2;CREATE
participants;5;DELETE
participants;118;SELECT
participants;2;DROP
participants;10;UPDATE
participants;2;CREATE
participants_keys;2;DROP
participants_keys;6;DELETE
participants_keys;1;INSERT
participants_keys;2;SELECT
participants_keys;2;CREATE
participants_messages;2;DROP
participants_messages;7;SELECT
participants_messages;10;INSERT
participants_messages;2;UPDATE
participants_messages;4;DELETE
participants_messages;2;CREATE
settings;63;SELECT
settings;93;INSERT
settings;2;DROP
settings;2;DELETE
settings;2;CREATE
siphash_ids;2;DROP
siphash_ids;38;SELECT
siphash_ids;3;DELETE
siphash_ids;3;UPDATE
siphash_ids;2;CREATE
steam_files;5;DELETE
steam_files;2;DROP
steam_files;15;SELECT
steam_files;3;INSERT
steam_files;31;UPDATE
steam_files;2;CREATE
